"No.","Time","Source","Destination","Protocol","Length","Info","...o"
"1618","6.975945108","127.0.0.1","127.0.0.1","UDP","76","46125  >  80 Len=32","6.975945108"
"1619","6.975954982","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.975954982"
"1620","6.978025486","127.0.0.1","127.0.0.1","UDP","76","51540  >  80 Len=32","6.978025486"
"1621","6.978031312","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.978031312"
"1622","6.978048871","127.0.0.1","127.0.0.1","UDP","76","43046  >  80 Len=32","6.978048871"
"1623","6.978051149","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.978051149"
"1624","6.981482913","127.0.0.1","127.0.0.1","UDP","76","55793  >  80 Len=32","6.981482913"
"1625","6.981488156","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.981488156"
"1626","6.981496091","127.0.0.1","127.0.0.1","UDP","76","45490  >  80 Len=32","6.981496091"
"1627","6.981500776","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.981500776"
"1628","6.992091151","127.0.0.1","127.0.0.1","UDP","76","46125  >  80 Len=32","6.992091151"
"1629","6.992101871","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.992101871"
"1630","6.993664866","127.0.0.1","127.0.0.1","UDP","76","51540  >  80 Len=32","6.993664866"
"1631","6.993670874","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.993670874"
"1632","6.993710585","127.0.0.1","127.0.0.1","UDP","76","43046  >  80 Len=32","6.993710585"
"1633","6.993713125","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.993713125"
"1634","6.996976973","127.0.0.1","127.0.0.1","UDP","76","55793  >  80 Len=32","6.996976973"
"1635","6.996983163","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.996983163"
"1636","6.997014717","127.0.0.1","127.0.0.1","UDP","76","45490  >  80 Len=32","6.997014717"
"1637","6.997019487","127.0.0.1","127.0.0.1","ICMP","104","Destination unreachable (Port unreachable)","6.997019487"
"1638","6.998325582","127.0.0.1","127.0.0.1","UDP","76","49050  >  80 Len=32","6.998325582"
